Local time in Ciampino (airport);Temp_dcelsius;Wind_speed;Dewpoint_temp
10.12.2017 22:00;9.06;7;8.02
10.12.2017 19:00;9.04;8;5.08
10.12.2017 16:00;8.01;8;3.08
10.12.2017 13:00;8.05;6;-6.9
10.12.2017 10:00;4.04;1;-3.4
10.12.2017 07:00;0.08;3;-10.7
10.12.2017 04:00;-0.2;2;-5.9
10.12.2017 01:00;0.04;2;-3.1
09.12.2017 22:00;2.05;3;-3.5
09.12.2017 19:00;4.02;3;-2.2
09.12.2017 16:00;8.04;7;-5.8
09.12.2017 13:00;7.00;4;2.04
09.12.2017 10:00;9.02;3;4.02
09.12.2017 07:00;8.01;2;3.02
09.12.2017 04:00;11.04;4;4.07
09.12.2017 01:00;13.04;5;9.00
08.12.2017 22:00;11.02;6;8.04
08.12.2017 19:00;12.01;3;6.06
08.12.2017 16:00;13.01;4;6.08
08.12.2017 13:00;14.02;5;5.06
08.12.2017 10:00;12.00;4;7.04
08.12.2017 04:00;10.06;3;6.08
08.12.2017 01:00;8.02;2;5.08
07.12.2017 22:00;6.09;2;4.08
07.12.2017 19:00;8.06;2;4.08
07.12.2017 16:00;12.02;1;5.09
07.12.2017 13:00;12.06;1;4.00
07.12.2017 10:00;11.03;2;4.02
07.12.2017 07:00;8.03;2;3.08
07.12.2017 04:00;8.00;3;4.00
07.12.2017 01:00;5.05;2;3.08
06.12.2017 22:00;5.06;1;3.03
06.12.2017 19:00;6.06;2;2.01
06.12.2017 16:00;11.04;2;2.07
06.12.2017 13:00;11.02;2;0.08
06.12.2017 10:00;5.01;2;-1.0
06.12.2017 07:00;0.09;2;-1.7
06.12.2017 04:00;3.04;1;-2.3
06.12.2017 01:00;2.01;2;-2.4
05.12.2017 22:00;4.08;2;-1.2
05.12.2017 19:00;6.03;3;-0.1
05.12.2017 16:00;10.07;2;1.02
05.12.2017 13:00;9.01;4;1.03
05.12.2017 10:00;4.05;2;-0.3
05.12.2017 07:00;1.03;2;-1.0
05.12.2017 04:00;1.06;2;-0.3
05.12.2017 01:00;2.07;3;0.02
04.12.2017 22:00;2.07;1;-0.1
04.12.2017 19:00;7.01;2;1.01
04.12.2017 16:00;9.08;3;1.07
04.12.2017 13:00;10.01;2;3.05
04.12.2017 10:00;5.07;3;2.04
04.12.2017 07:00;3.09;3;2.06
04.12.2017 04:00;4.07;4;2.09
04.12.2017 01:00;4.07;2;3.03
03.12.2017 22:00;5.05;1;3.08
03.12.2017 19:00;6.07;2;4.06
03.12.2017 16:00;8.02;3;5.00
03.12.2017 13:00;9.00;2;5.05
03.12.2017 10:00;6.09;2;5.01
03.12.2017 07:00;6.03;3;4.08
03.12.2017 04:00;6.05;3;4.09
03.12.2017 01:00;7.02;2;5.06
02.12.2017 22:00;8.07;3;2.01
02.12.2017 19:00;8.09;4;1.08
02.12.2017 16:00;10.01;2;1.06
02.12.2017 13:00;11.00;4;0.08
02.12.2017 10:00;10.06;3;0.05
02.12.2017 07:00;7.02;4;0.04
02.12.2017 04:00;5.09;2;1.00
02.12.2017 01:00;5.05;3;1.00
01.12.2017 22:00;5.01;2;1.03
01.12.2017 19:00;5.09;2;1.04
01.12.2017 16:00;11.06;1;0.07
01.12.2017 13:00;11.08;3;1.04
01.12.2017 07:00;6.04;2;2.09
01.12.2017 04:00;5.03;3;1.08
01.12.2017 01:00;6.00;1;2.05
30.11.2017 22:00;8.03;3;3.00
30.11.2017 19:00;9.03;2;2.08
30.11.2017 16:00;11.03;4;3.04
30.11.2017 13:00;13.02;6;1.06
30.11.2017 10:00;12.05;4;7.06
30.11.2017 07:00;6.03;2;5.05
30.11.2017 01:00;10.00;1;9.02
29.11.2017 22:00;12.08;2;12.01
29.11.2017 19:00;12.02;4;10.08
29.11.2017 16:00;11.06;3;10.06
29.11.2017 13:00;12.00;5;9.04
29.11.2017 10:00;12.02;6;7.09
29.11.2017 07:00;11.02;5;7.07
29.11.2017 04:00;10.04;6;8.00
29.11.2017 01:00;10.05;6;7.06
28.11.2017 22:00;10.08;5;3.01
28.11.2017 19:00;7.06;1;0.00
28.11.2017 16:00;10.05;1;0.03
28.11.2017 13:00;10.01;1;-4.1
28.11.2017 10:00;4.00;2;-3.8
28.11.2017 07:00;0.01;2;-6.0
28.11.2017 04:00;1.02;3;-4.3
28.11.2017 01:00;1.04;2;-4.6
27.11.2017 22:00;3.07;3;-4.3
27.11.2017 19:00;6.09;4;-4.7
27.11.2017 16:00;9.09;6;-4.1
27.11.2017 13:00;11.04;5;-3.4
27.11.2017 10:00;7.04;4;0.04
27.11.2017 07:00;4.03;3;0.01
27.11.2017 04:00;5.02;3;1.01
27.11.2017 01:00;5.01;2;1.05
26.11.2017 22:00;6.03;5;1.07
26.11.2017 19:00;8.00;6;2.03
26.11.2017 16:00;13.07;5;5.06
26.11.2017 13:00;15.08;3;6.00
26.11.2017 10:00;13.05;4;9.00
26.11.2017 07:00;12.02;3;7.02
26.11.2017 04:00;13.04;3;10.07
26.11.2017 01:00;14.08;6;12.09
25.11.2017 22:00;15.04;7;12.00
25.11.2017 19:00;14.09;7;11.06
25.11.2017 13:00;16.08;5;12.00
25.11.2017 10:00;16.00;5;12.08
25.11.2017 07:00;14.06;4;12.04
25.11.2017 04:00;12.04;3;10.08
25.11.2017 01:00;11.04;2;9.08
24.11.2017 22:00;11.03;1;9.08
24.11.2017 19:00;12.05;2;10.04
24.11.2017 16:00;17.00;2;11.03
24.11.2017 13:00;17.07;2;11.01
24.11.2017 10:00;13.00;1;11.08
24.11.2017 07:00;11.03;2;8.03
24.11.2017 04:00;10.07;1;8.02
24.11.2017 01:00;11.03;2;8.01
23.11.2017 22:00;11.04;2;8.04
23.11.2017 19:00;13.00;1;10.03
23.11.2017 16:00;16.05;1;9.07
23.11.2017 13:00;16.08;3;8.07
23.11.2017 10:00;13.02;2;8.08
23.11.2017 07:00;8.08;2;7.02
23.11.2017 04:00;8.08;2;5.07
23.11.2017 01:00;9.01;2;5.07
22.11.2017 22:00;11.04;1;8.05
22.11.2017 19:00;14.00;2;10.04
22.11.2017 16:00;15.02;2;10.09
22.11.2017 13:00;17.09;3;8.04
22.11.2017 10:00;16.03;2;9.04
22.11.2017 07:00;10.02;1;8.03
22.11.2017 04:00;8.08;1;7.02
22.11.2017 01:00;9.01;1;7.05
21.11.2017 22:00;11.06;2;8.03
21.11.2017 19:00;12.02;1;7.02
21.11.2017 16:00;14.06;2;7.00
21.11.2017 13:00;14.07;2;6.04
21.11.2017 10:00;11.07;1;5.08
21.11.2017 07:00;9.03;2;3.07
21.11.2017 04:00;9.07;3;3.02
21.11.2017 01:00;7.08;2;2.03
20.11.2017 22:00;7.07;3;4.04
20.11.2017 19:00;9.01;2;4.05
20.11.2017 16:00;14.02;3;6.00
20.11.2017 13:00;13.02;3;4.01
20.11.2017 10:00;9.02;4;3.09
20.11.2017 07:00;6.02;3;4.03
20.11.2017 04:00;5.01;1;3.08
20.11.2017 01:00;5.09;1;4.01
19.11.2017 22:00;8.03;2;5.01
19.11.2017 19:00;7.09;1;5.01
19.11.2017 16:00;13.03;2;5.00
19.11.2017 13:00;11.05;2;5.02
19.11.2017 10:00;8.00;3;4.04
19.11.2017 07:00;5.02;3;3.00
19.11.2017 04:00;5.08;3;3.05
19.11.2017 01:00;7.00;3;4.00
18.11.2017 22:00;8.06;2;4.05
18.11.2017 19:00;11.00;2;5.02
18.11.2017 16:00;14.07;2;7.07
18.11.2017 13:00;14.04;3;7.08
18.11.2017 10:00;8.08;3;5.08
18.11.2017 07:00;6.05;2;4.05
18.11.2017 04:00;7.01;2;4.09
18.11.2017 01:00;7.04;2;5.02
17.11.2017 22:00;10.02;3;6.05
17.11.2017 19:00;10.08;1;7.04
17.11.2017 16:00;16.07;1;7.04
17.11.2017 13:00;16.03;2;8.04
17.11.2017 10:00;11.00;3;6.03
17.11.2017 07:00;8.02;4;4.09
17.11.2017 04:00;7.09;1;4.07
17.11.2017 01:00;7.08;1;4.08
16.11.2017 22:00;9.00;1;6.02
16.11.2017 19:00;11.06;2;7.01
16.11.2017 16:00;13.09;2;8.01
16.11.2017 13:00;13.04;5;7.02
16.11.2017 10:00;10.09;3;6.01
16.11.2017 07:00;7.06;4;4.08
16.11.2017 04:00;7.04;3;4.08
16.11.2017 01:00;6.08;3;5.04
15.11.2017 22:00;8.04;4;7.03
15.11.2017 19:00;9.06;2;7.09
15.11.2017 16:00;11.04;4;9.00
15.11.2017 13:00;11.03;2;8.07
15.11.2017 10:00;11.00;2;7.03
15.11.2017 07:00;9.07;2;5.08
15.11.2017 04:00;9.05;4;4.08
15.11.2017 01:00;9.05;4;5.05
14.11.2017 22:00;9.09;3;4.04
14.11.2017 19:00;10.02;3;4.04
14.11.2017 13:00;9.05;2;5.02
14.11.2017 10:00;8.09;6;4.04
14.11.2017 07:00;5.06;4;2.05
14.11.2017 04:00;7.04;3;3.05
14.11.2017 01:00;6.05;2;2.08
13.11.2017 22:00;8.02;3;3.02
13.11.2017 19:00;8.07;2;5.03
13.11.2017 16:00;10.06;2;3.08
13.11.2017 13:00;12.00;4;3.09
13.11.2017 10:00;12.00;6;5.04
13.11.2017 07:00;13.08;5;4.07
13.11.2017 04:00;15.00;4;11.09
13.11.2017 01:00;13.09;4;12.00
12.11.2017 22:00;13.07;3;12.00
12.11.2017 19:00;14.02;5;12.00
12.11.2017 16:00;13.09;2;12.04
12.11.2017 13:00;15.09;4;10.00
12.11.2017 10:00;14.03;2;9.03
12.11.2017 07:00;9.05;2;8.00
12.11.2017 04:00;8.09;2;7.01
12.11.2017 01:00;9.06;2;7.00
11.11.2017 22:00;11.00;3;8.03
11.11.2017 19:00;11.03;2;9.00
11.11.2017 16:00;17.02;2;7.01
11.11.2017 13:00;17.04;3;8.02
11.11.2017 10:00;12.09;2;8.07
11.11.2017 07:00;9.05;2;7.07
11.11.2017 04:00;10.09;2;8.02
11.11.2017 01:00;10.05;4;8.06
10.11.2017 22:00;12.00;3;9.00
10.11.2017 19:00;11.08;2;8.05
10.11.2017 16:00;14.07;3;9.08
10.11.2017 13:00;17.04;1;7.09
10.11.2017 10:00;14.01;2;8.02
10.11.2017 07:00;11.08;4;8.00
10.11.2017 04:00;13.00;5;8.02
10.11.2017 01:00;11.07;1;7.04
09.11.2017 22:00;11.05;1;10.03
09.11.2017 19:00;11.04;2;10.04
09.11.2017 16:00;14.03;1;10.01
09.11.2017 13:00;16.05;4;8.03
09.11.2017 10:00;14.02;2;8.05
09.11.2017 07:00;9.07;1;7.04
09.11.2017 04:00;10.08;1;8.01
09.11.2017 01:00;10.09;2;7.04
08.11.2017 22:00;10.04;3;7.01
08.11.2017 19:00;12.04;2;9.03
08.11.2017 16:00;15.03;1;6.04
08.11.2017 13:00;15.05;1;6.01
08.11.2017 10:00;11.02;2;5.05
08.11.2017 07:00;6.06;2;3.08
08.11.2017 04:00;5.04;2;3.07
08.11.2017 01:00;7.04;2;4.09
07.11.2017 22:00;11.03;5;4.05
07.11.2017 19:00;10.05;3;5.08
07.11.2017 16:00;12.08;4;6.02
07.11.2017 13:00;13.02;6;5.08
07.11.2017 10:00;11.02;6;6.01
07.11.2017 07:00;11.06;4;4.02
07.11.2017 01:00;7.09;2;5.04
06.11.2017 22:00;9.06;2;7.02
06.11.2017 19:00;10.03;2;7.01
06.11.2017 16:00;12.03;3;5.03
06.11.2017 13:00;15.02;2;6.06
06.11.2017 10:00;14.07;2;8.03
06.11.2017 07:00;13.01;4;8.07
06.11.2017 04:00;12.05;2;9.08
06.11.2017 01:00;14.01;1;12.00
05.11.2017 22:00;15.02;2;13.01
05.11.2017 19:00;15.03;2;12.09
05.11.2017 16:00;11.05;5;10.08
05.11.2017 13:00;17.08;8;11.03
05.11.2017 10:00;17.07;6;11.09
05.11.2017 07:00;15.08;3;11.03
05.11.2017 04:00;15.04;3;7.09
05.11.2017 01:00;12.09;1;8.07
04.11.2017 19:00;15.09;1;10.07
04.11.2017 16:00;18.04;1;13.01
04.11.2017 13:00;19.00;1;12.00
04.11.2017 10:00;14.09;2;12.01
04.11.2017 07:00;10.00;1;8.09
04.11.2017 04:00;11.04;1;10.02
04.11.2017 01:00;12.07;1;11.05
03.11.2017 22:00;13.03;1;12.01
03.11.2017 19:00;15.03;1;13.06
03.11.2017 16:00;17.05;2;14.03
03.11.2017 13:00;17.06;2;14.09
03.11.2017 10:00;16.09;5;12.05
03.11.2017 07:00;15.01;3;11.07
03.11.2017 04:00;15.00;3;12.02
03.11.2017 01:00;14.05;1;12.05
02.11.2017 22:00;15.04;2;11.04
02.11.2017 19:00;13.08;2;10.02
02.11.2017 16:00;18.07;1;8.00
02.11.2017 13:00;17.07;3;6.05
02.11.2017 10:00;13.08;2;7.08
02.11.2017 07:00;7.03;0;4.08
02.11.2017 04:00;9.01;2;4.09
02.11.2017 01:00;10.05;2;5.07
01.11.2017 22:00;10.08;2;7.05
01.11.2017 19:00;12.04;2;8.07
01.11.2017 16:00;17.07;3;9.05
01.11.2017 13:00;18.00;2;5.05
01.11.2017 10:00;13.04;2;6.06
01.11.2017 07:00;7.09;2;5.04
01.11.2017 04:00;8.08;2;6.07
01.11.2017 01:00;11.05;2;7.06
31.10.2017 22:00;13.07;2;7.09
31.10.2017 19:00;13.03;2;7.07
31.10.2017 16:00;17.09;2;7.05
31.10.2017 13:00;19.05;2;7.01
31.10.2017 10:00;17.05;2;8.08
31.10.2017 07:00;15.05;5;5.05
31.10.2017 01:00;14.06;2;11.01
30.10.2017 22:00;15.04;1;10.08
30.10.2017 19:00;16.02;2;11.04
30.10.2017 16:00;18.09;4;11.00
30.10.2017 13:00;19.01;3;10.06
30.10.2017 10:00;16.08;3;11.01
30.10.2017 07:00;9.07;1;8.03
30.10.2017 04:00;12.00;3;8.08
30.10.2017 01:00;11.05;2;9.03
29.10.2017 22:00;13.00;2;10.02
29.10.2017 19:00;14.08;2;10.06
29.10.2017 16:00;15.05;1;11.06
29.10.2017 13:00;16.09;3;10.05
29.10.2017 10:00;16.09;1;10.09
29.10.2017 07:00;11.01;2;5.07
29.10.2017 04:00;10.07;3;1.03
29.10.2017 02:00;8.06;1;1.07
28.10.2017 23:00;10.04;1;2.03
28.10.2017 20:00;12.09;2;4.01
28.10.2017 17:00;19.08;2;-0.5
28.10.2017 14:00;19.01;2;-0.5
28.10.2017 11:00;16.04;5;2.02
28.10.2017 08:00;11.02;3;2.00
28.10.2017 05:00;12.09;3;5.09
28.10.2017 02:00;13.04;4;12.04
27.10.2017 23:00;15.06;1;14.02
27.10.2017 20:00;17.06;2;14.03
27.10.2017 17:00;18.08;2;14.06
27.10.2017 14:00;18.02;3;13.08
27.10.2017 11:00;18.06;3;12.09
27.10.2017 08:00;10.06;2;8.09
27.10.2017 05:00;10.05;1;8.04
27.10.2017 02:00;11.09;2;7.08
26.10.2017 23:00;13.01;2;7.09
26.10.2017 20:00;14.08;1;11.07
26.10.2017 17:00;21.03;2;11.03
26.10.2017 14:00;21.02;2;10.01
26.10.2017 11:00;16.09;2;8.05
26.10.2017 08:00;9.03;2;5.01
26.10.2017 05:00;10.01;2;5.05
26.10.2017 02:00;10.09;1;5.05
25.10.2017 23:00;13.08;2;4.03
25.10.2017 20:00;14.03;2;6.08
25.10.2017 17:00;20.09;2;5.02
25.10.2017 14:00;20.07;3;4.03
25.10.2017 11:00;16.06;3;4.01
25.10.2017 08:00;11.08;5;1.08
25.10.2017 05:00;9.09;1;1.09
25.10.2017 02:00;9.09;1;0.06
24.10.2017 23:00;13.08;3;-1.0
24.10.2017 20:00;16.09;6;-1.4
24.10.2017 17:00;20.01;6;-0.6
24.10.2017 14:00;19.08;12;2.03
24.10.2017 11:00;15.06;8;4.03
24.10.2017 08:00;9.02;4;1.01
24.10.2017 05:00;10.01;3;1.06
24.10.2017 02:00;9.03;1;3.08
23.10.2017 23:00;11.00;1;3.09
23.10.2017 20:00;12.09;2;2.07
23.10.2017 17:00;17.07;9;0.04
23.10.2017 14:00;17.02;9;3.00
23.10.2017 11:00;13.09;8;5.00
23.10.2017 08:00;10.02;5;4.04
23.10.2017 05:00;13.00;2;8.08
23.10.2017 02:00;13.00;2;9.01
22.10.2017 23:00;15.06;1;8.03
22.10.2017 20:00;16.07;3;11.00
22.10.2017 17:00;19.04;5;14.04
22.10.2017 14:00;19.02;4;17.05
22.10.2017 11:00;20.02;5;17.04
22.10.2017 08:00;18.09;3;16.06
22.10.2017 05:00;17.00;2;15.03
22.10.2017 02:00;16.06;2;14.04
21.10.2017 23:00;15.03;2;12.01
21.10.2017 20:00;16.07;3;13.06
21.10.2017 17:00;21.06;4;12.00
21.10.2017 14:00;22.06;3;10.04
21.10.2017 11:00;18.01;2;11.04
21.10.2017 08:00;11.03;2;9.04
21.10.2017 05:00;12.06;1;8.09
21.10.2017 02:00;14.02;2;10.03
20.10.2017 23:00;14.05;2;11.07
20.10.2017 20:00;16.05;1;13.03
20.10.2017 17:00;21.07;3;13.07
20.10.2017 14:00;22.07;2;11.05
20.10.2017 11:00;16.06;1;12.01
20.10.2017 08:00;12.01;1;10.03
20.10.2017 05:00;12.04;2;10.04
20.10.2017 02:00;14.00;2;12.00
19.10.2017 23:00;14.02;1;12.03
19.10.2017 20:00;16.08;2;13.04
19.10.2017 17:00;21.04;3;13.06
19.10.2017 14:00;21.07;2;12.00
19.10.2017 11:00;17.01;3;13.09
19.10.2017 08:00;12.03;1;10.09
19.10.2017 05:00;12.08;2;11.07
19.10.2017 02:00;13.02;2;11.04
18.10.2017 23:00;12.09;2;11.00
18.10.2017 20:00;16.08;1;13.08
18.10.2017 17:00;21.06;3;14.02
18.10.2017 14:00;21.05;2;12.09
18.10.2017 11:00;16.08;2;14.02
18.10.2017 08:00;14.04;1;13.05
18.10.2017 05:00;13.04;1;12.06
18.10.2017 02:00;13.06;1;11.01
17.10.2017 23:00;14.09;2;12.08
17.10.2017 20:00;17.02;1;15.02
17.10.2017 17:00;21.09;3;15.09
17.10.2017 14:00;23.06;2;14.00
17.10.2017 11:00;18.00;1;11.03
17.10.2017 08:00;11.04;2;9.09
17.10.2017 05:00;12.06;1;10.02
17.10.2017 02:00;14.03;1;9.01
16.10.2017 23:00;15.03;2;11.01
16.10.2017 20:00;18.03;1;14.06
16.10.2017 17:00;24.04.00;2;13.07
16.10.2017 14:00;24.09.00;2;13.00
16.10.2017 11:00;19.05;2;10.06
16.10.2017 08:00;12.06;2;8.02
16.10.2017 05:00;13.04;1;10.04
16.10.2017 02:00;15.01;1;9.05
15.10.2017 23:00;14.06;2;10.00
15.10.2017 20:00;16.08;2;13.01
15.10.2017 17:00;24.00.00;3;13.07
15.10.2017 14:00;24.02.00;2;9.08
15.10.2017 11:00;18.07;2;10.01
15.10.2017 08:00;12.01;3;7.08
15.10.2017 05:00;14.04;1;9.05
15.10.2017 02:00;14.08;1;9.00
14.10.2017 23:00;16.01;3;10.01
14.10.2017 20:00;16.05;1;13.07
14.10.2017 17:00;23.08;3;14.08
14.10.2017 14:00;22.08;2;11.01
14.10.2017 11:00;18.06;2;13.00
14.10.2017 08:00;11.09;2;10.01
14.10.2017 05:00;12.06;2;10.09
14.10.2017 02:00;15.00;2;12.00
13.10.2017 23:00;15.04;2;11.08
13.10.2017 20:00;17.00;2;13.06
13.10.2017 17:00;22.02;3;12.04
13.10.2017 14:00;22.02;2;10.01
13.10.2017 11:00;17.09;1;11.05
13.10.2017 08:00;11.09;1;10.06
13.10.2017 05:00;12.07;1;11.05
13.10.2017 02:00;13.07;1;11.05
12.10.2017 23:00;16.02;2;14.03
12.10.2017 20:00;16.06;1;13.09
12.10.2017 17:00;22.00;3;12.07
12.10.2017 14:00;22.08;2;7.04
12.10.2017 11:00;18.04;1;11.07
12.10.2017 08:00;11.09;1;9.00
12.10.2017 05:00;13.06;1;9.05
12.10.2017 02:00;13.06;2;12.05
11.10.2017 23:00;14.05;2;11.06
11.10.2017 20:00;17.01;2;13.08
11.10.2017 17:00;22.06;3;13.05
11.10.2017 14:00;22.06;2;12.05
11.10.2017 11:00;18.05;1;13.02
11.10.2017 08:00;12.07;2;11.03
11.10.2017 05:00;13.01;2;11.08
11.10.2017 02:00;14.02;2;11.07
10.10.2017 23:00;15.01;2;13.02
10.10.2017 20:00;17.08;1;14.04
10.10.2017 17:00;20.06;3;14.05
10.10.2017 14:00;22.00;2;11.07
10.10.2017 11:00;18.09;1;11.09
10.10.2017 08:00;12.07;1;10.04
10.10.2017 05:00;13.05;1;10.04
10.10.2017 02:00;14.03;2;10.06
09.10.2017 23:00;15.07;2;10.08
09.10.2017 20:00;17.07;2;12.02
09.10.2017 17:00;20.03;4;11.09
09.10.2017 14:00;22.01;3;11.03
09.10.2017 11:00;18.01;2;9.08
09.10.2017 08:00;16.02;1;9.00
09.10.2017 05:00;16.02;2;9.00
09.10.2017 02:00;15.06;2;8.05
08.10.2017 23:00;17.03;3;9.04
08.10.2017 20:00;17.05;3;9.09
08.10.2017 17:00;20.01;2;8.06
08.10.2017 14:00;20.09;3;7.03
08.10.2017 11:00;18.07;1;7.01
